"ledger_bucket","rank","id","company","role_zh","original_role","tier","status","location_bucket","location","language_path","experience_path","experience_requirement","direction","chinese_relevant","formal","internship","score","source_score","posted_at","primary_url","all_links","status_evidence","analysis"
"current-main","1","778","巴塞罗那华人广告公司（主体待核实）","华人广告公司全职平面设计师（8 月持续重发）","Full-time Graphic Designer","C","verify","barcelona","Barcelona / 全职 / 地址与公司主体待核实","chineseCheck","unknown","有经验 / 年限未公开","production","true","true","false","81","64","2026-08-06","https://www.es02.com/jobs/Recruitment/barcelona/i184673.html","https://www.es02.com/jobs/Recruitment/barcelona/i184673.html | https://xihua.es/forum.php?mod=viewthread&tid=637173","2026-08-13 再次打开 ES02 184673：仍可读取 8 月 6 日 Barcelona 全职平面设计原帖、微信和电话；与西华 637173 为同一联系人和同一岗位，只计一张，主体和书面合同仍需先核实。","Keep one canonical current card. The August ES02 repost proves recent demand and the older Xihua page preserves its EUR1,410-1,600 net salary field, but identical contact and vacancy details mean they are not separate jobs. Confirm employer identity and written terms in Chinese before sending sensitive documents or editable source files."
"other-location-or-unclear","2","916","杭州流光溢彩品牌管理有限公司","品牌视觉设计师 / AIGC（海外品牌）","品牌视觉设计师 / AIGC（海外品牌）","C","live","other","中国远程 / 西班牙资格未确认（手动查看）","chinese","mid","中高级 / 3 年以上","brand","true","false","false","71","46","2026-06-03","https://www.zhaopin.com/jobdetail/CCL1507666820J40977554902.htm","https://www.zhaopin.com/jobdetail/CCL1507666820J40977554902.htm | https://remote-china.com/jobs/1252","Current Chinese remote-working detail was rechecked on 2026-08-09. It is dated 2026-06-03 and exposes an application link to the Zhaopin original route. The brief covers overseas-brand social posters, website banners, product imagery, Amazon/Meta/Google advertising, AIGC image/video, VI colour/type/graphic/packaging systems and UI components; it asks for 3+ years, Figma/PS/AI and commercial AIGC workflow experience. The page states RMB7,000鈥?0,000/month and full-time or remote Freelancer, but does not state whether a person living in Spain may apply, the payment currency, tax/social-security handling, time zone, hours or contract entity.","Keep as a low-pay-risk C-tier Chinese remote backup under manual global/other-city filtering, not the Barcelona/Spain default. Ask in Chinese for Spain-resident eligibility, contract or Freelancer status, payment/tax/social-security treatment, weekly hours and time zone; do not deliver a full commercial test before written terms."
"review-required","3","1141","OULANG / 欧浪 Barcelona live landing","数字品牌延展相关机会","Barcelona latest jobs","D","verify","barcelona","巴塞罗那及周边","chineseCheck","unknown","经验要求未说明","digital","true","false","false","65","66","","","","Channel audit only; do not treat the landing page as a design vacancy",""
"other-location-or-unclear","4","917","OneKey","品牌视觉设计师（全球远程待确认）","品牌视觉设计师 / Visual Designer","D","verify","other","全球远程 / 西班牙资格未确认","chinese","mid","中高级 / 3 年以上","brand","true","false","false","64","64","","https://onekeyhq.atlassian.net/wiki/spaces/OC/pages/127238234/Visual%2BDesigner","https://onekeyhq.atlassian.net/wiki/spaces/OC/pages/127238234/Visual%2BDesigner | https://gr4yl99ujhl.typeform.com/to/XhZ4wVcn?utm_source=official | https://onekeyhq.atlassian.net/wiki/spaces/OC/overview?homepageId=127140150","Current canonical OneKey Visual Designer page and application route were rechecked on 2026-08-09. The official Chinese/English page covers 3+ years, portfolio, Blender/C4D/After Effects/Figma/AI, Logo/VI and visual-system extension across hardware, App, website and online/offline materials; Chinese is preferred and English documentation is expected. The official materials support global/remote work but do not explicitly confirm Barcelona, Spain remote, a Spain entity or Spain tax/social-security handling.","Keep as the single canonical OneKey manual-watch card, not a default Barcelona/Spain opportunity. Confirm Spain resident eligibility, contract entity, currency, tax/social security, core time zone and paid-test/IP terms before applying."
"review-required","5","826","巴塞罗那个人发布者（需先核实）","视频拍摄与剪辑（旧岗确认）","巴塞罗那视频拍摄和剪辑师","D","verify","barcelona","巴塞罗那及周边","chineseCheck","unknown","经验要求未说明","social","true","false","false","59","66","2025-09-03","https://xihua.es/forum.php?mod=viewthread&tid=630022","https://xihua.es/forum.php?mod=viewthread&tid=630022","2025-09-03 发布。工作内容仅写拍摄视频加剪辑、专业者优先；单位名称填“个人”，未写行业、工时、合同、保险、语言和居留要求，税后月薪栏为 EUR400 以下。帖子仍可访问，但超过十个月且没有更新，不能视为当前空缺","地点和技能直接匹配，因此保留为 D 级冷档案，但薪资与主体透明度都很弱。只发一条中文消息确认是否仍有按项目或兼职拍摄剪辑需求、每月交付量和预算；没有书面范围与付费约定前不做完整免费试片。"
"other-location-or-unclear","6","803","SMILE JOYAS / Oulang original current detail","时尚运营师（陈列 / 社媒视觉）","时尚运营师 — 产品搭配、陈列与社媒视觉内容","D","live","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","digital","true","false","false","58","62","2026-07-23","https://oulang.ai/jobs/2417602","https://oulang.ai/jobs/2417602","Current Oulang original detail 2417602 was directly opened on 2026-08-09. It is a genuine 2026-07-23 SMILE JOYAS multi-role recruitment post, with Chinese plus fluent Spanish/English gates depending on role and a protected in-platform contact route. The social, website and fashion operations work includes content, visual planning and brand activity, but the post explicitly places the work in Madrid, not Barcelona or Spain/Europe remote.","Keep only in the manual Madrid/other queue. It is a real Chinese-language brand-content lead, but it cannot appear in the default Barcelona/Spain-remote ranking and is not a pure graphic/VI role."
"other-location-or-unclear","7","804","SMILE JOYAS / Oulang original current detail","社交媒体运营专员（图文 / 短视频）","社交媒体平台运营专员 — 图文、短视频与品牌活动","D","live","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","digital","true","false","false","58","62","2026-07-23","https://oulang.ai/jobs/2417602","https://oulang.ai/jobs/2417602","Current Oulang original detail 2417602 was directly opened on 2026-08-09. It is a genuine 2026-07-23 SMILE JOYAS multi-role recruitment post, with Chinese plus fluent Spanish/English gates depending on role and a protected in-platform contact route. The social, website and fashion operations work includes content, visual planning and brand activity, but the post explicitly places the work in Madrid, not Barcelona or Spain/Europe remote.","Keep only in the manual Madrid/other queue. It is a real Chinese-language brand-content lead, but it cannot appear in the default Barcelona/Spain-remote ranking and is not a pure graphic/VI role."
"other-location-or-unclear","8","805","SMILE JOYAS / Oulang original current detail","网站运营专员（推广 / 品牌内容）","自建网站运营专员 — 网站维护、线上推广与品牌宣传","D","live","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","digital","true","false","false","58","62","2026-07-23","https://oulang.ai/jobs/2417602","https://oulang.ai/jobs/2417602","Current Oulang original detail 2417602 was directly opened on 2026-08-09. It is a genuine 2026-07-23 SMILE JOYAS multi-role recruitment post, with Chinese plus fluent Spanish/English gates depending on role and a protected in-platform contact route. The social, website and fashion operations work includes content, visual planning and brand activity, but the post explicitly places the work in Madrid, not Barcelona or Spain/Europe remote.","Keep only in the manual Madrid/other queue. It is a real Chinese-language brand-content lead, but it cannot appear in the default Barcelona/Spain-remote ranking and is not a pure graphic/VI role."
"other-location-or-unclear","9","782","SMILE JOYAS / Oulang original current detail","时尚品牌运营 / 视觉内容策划；网站运营；社交媒体运营","时尚品牌运营 / 视觉内容策划；网站运营；社交媒体运营","D","live","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","digital","true","false","false","55","62","","https://oulang.ai/jobs/2417602","https://oulang.ai/jobs/2417602","Current Oulang original detail 2417602 was directly opened on 2026-08-09. It is a genuine 2026-07-23 SMILE JOYAS multi-role recruitment post, with Chinese plus fluent Spanish/English gates depending on role and a protected in-platform contact route. The social, website and fashion operations work includes content, visual planning and brand activity, but the post explicitly places the work in Madrid, not Barcelona or Spain/Europe remote.","Keep only in the manual Madrid/other queue. It is a real Chinese-language brand-content lead, but it cannot appear in the default Barcelona/Spain-remote ranking and is not a pure graphic/VI role."
"current-main","10","920","言灵无界信息咨询（北京）有限公司","兼职品牌视觉设计师（跨境品牌咨询）","Brand Visual Designer","C","verify","remote","中文远程兼职（需确认西班牙资格）","chineseCheck","unknown","经验未公开","brand","true","false","false","52","62","2026-02-24","https://www.zhaopin.com/jobdetail/CC481983130J40920987415.htm","https://www.zhaopin.com/jobdetail/CC481983130J40920987415.htm","2026-08-13 再次打开智联原始详情：品牌视觉兼职仍显示立即沟通，但地点字段为成都，未说明接受西班牙居民、境外签约或跨境付款，继续列为中文远程待确认。","Keep in the Chinese manual queue because the VI and Chinese-language fit are strong. Do not treat the word remote as Spain eligibility: ask about Barcelona residency, contract entity, weekly hours, timezone, cross-border payment and tax before preparing a full application."
